province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,total_households,home_ownership_owned,home_ownership_rented,home_ownership_institutional,home_ownership_other,foundation_mud,foundation_mud_bonded_bricks_stone,foundation_cement_bonded_bricks_stone,foundation_reinforced_cement_concrete_with_pillars,foundation_wooden_pillars,outer_wall_mud_bonded_bricks_stone,outer_wall_cement_bonded_bricks_stone,outer_wall_wood_planks,outer_wall_bamboo,outer_wall_unbaked_bricks,outer_wall_galvanised_sheet,outer_wall_prefabricated_sheet,outer_wall_other,roof_galvanised_sheet,roof_reinforced_cement_concrete,roof_thatch_straw,roof_tile,roof_stone_slate,roof_wood_planks,roof_mud,roof_other,floor_mud,floor_wooden_plank_bamboo,floor_bricks_stone,floor_ceramic_tile,floor_cemented,floor_other,drinking_water_tap_piped_within_premises,drinking_water_tap_piped_outside_premises,drinking_water_tubewell_handpump,drinking_water_covered_well_kuwa,drinking_water_uncovered_well_kuwa,drinking_water_spout_water,drinking_water_river_stream,drinking_water_jar_bottle,drinking_water_other,cooking_fuel_wood_firewood,cooking_fuel_lpg,cooking_fuel_electricity,cooking_fuel_cowdung,cooking_fuel_biogas,cooking_fuel_kerosene,cooking_fuel_other,lighting_electricity,lighting_solar,lighting_kerosene,lighting_biogas,lighting_other,toilet_flush_public_sewerage,toilet_flush_septic_tank,toilet_pit,toilet_public,toilet_no_toilet,hh_amenities_without,hh_amenities_at_least_one,hh_amenities_radio,hh_amenities_television,hh_amenities_landline,hh_amenities_mobile_phone_ordinary,hh_amenities_mobile_phone_smart,hh_amenities_computer_laptop,hh_amenities_internet,hh_amenities_car_jeep_van,hh_amenities_motorcycle_scooter,hh_amenities_bicycle,hh_amenities_electric_fan,hh_amenities_refridgerator,hh_amenities_washing_machine,hh_amenities_air_conditioner,wealth_quintile_poorest_quintile_count,wealth_quintile_poorer_quintile_count,wealth_quintile_middle_quintile_count,wealth_quintile_richer_quintile_count,wealth_quintile_richest_quintile_count,wealth_quintile_poorest_quintile_pc,wealth_quintile_poorer_quintile_pc,wealth_quintile_middle_quintile_pc,wealth_quintile_richer_quintile_pc,wealth_quintile_richest_quintile_pc,house_quality_most_adequate_count,house_quality_adequate_count,house_quality_moderate_count,house_quality_inadequate_count,house_quality_least_adequate_count,house_quality_most_adequate_pc,house_quality_adequate_pc,house_quality_moderate_pc,house_quality_inadequate_pc,house_quality_least_adequate_pc
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,283,274,2,0,7,228,10,1,37,7,154,8,112,2,4,1,0,2,279,2,1,0,0,0,0,1,252,15,1,0,14,1,130,7,0,0,0,144,0,0,2,276,7,0,0,0,0,0,281,1,0,0,1,0,64,217,1,1,125,158,40,46,3,122,36,2,12,2,12,2,2,1,1,1,225,47,11,0,0,79.51,16.61,3.89,0,0,0,9,138,135,1,0,3.18,48.76,47.7,0.35
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,163,105,46,12,0,2,34,37,90,0,3,82,5,1,1,71,0,0,121,35,0,2,2,3,0,0,9,8,1,11,133,1,145,17,0,0,1,0,0,0,0,8,155,0,0,0,0,0,162,0,0,0,1,0,46,115,0,2,25,138,6,66,41,132,108,30,86,12,46,4,18,12,9,2,5,28,66,36,28,3.07,17.18,40.49,22.09,17.18,37,49,74,3,0,22.7,30.06,45.4,1.84,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,169,144,2,1,22,11,115,9,18,16,10,122,15,0,0,12,0,10,150,13,1,0,0,3,0,2,25,74,0,0,70,0,63,87,0,0,0,1,0,0,18,126,43,0,0,0,0,0,163,4,1,0,1,0,66,85,3,15,32,137,11,58,2,122,100,3,10,6,22,1,3,25,2,0,29,35,67,32,6,17.16,20.71,39.64,18.93,3.55,22,88,38,17,4,13.02,52.07,22.49,10.06,2.37
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,5,583,543,36,4,0,109,184,244,43,3,53,447,42,0,2,38,1,0,316,261,1,0,5,0,0,0,40,103,0,3,434,3,311,226,0,0,5,41,0,0,0,150,433,0,0,0,0,0,572,10,1,0,0,1,296,278,7,1,28,555,110,373,179,513,481,131,272,113,246,84,138,243,97,68,24,51,142,159,207,4.12,8.75,24.36,27.27,35.51,247,227,93,16,0,42.37,38.94,15.95,2.74,0
Bagmati,Rasuwa,Aamachhodingmo,NP03,NP0329,NP0329401,1,311,311,0,0,0,258,53,0,0,0,257,54,0,0,0,0,0,0,311,0,0,0,0,0,0,0,250,1,1,0,58,1,105,185,0,0,0,9,12,0,0,307,1,0,0,0,1,2,278,0,0,0,33,4,276,2,0,29,28,283,244,229,4,229,211,4,1,1,19,1,1,1,0,0,63,175,66,6,1,20.26,56.27,21.22,1.93,0.32,0,59,224,28,0,0,18.97,72.03,9,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,293,286,5,2,0,242,21,7,22,1,228,25,1,6,0,33,0,0,271,19,1,0,0,2,0,0,226,5,0,0,62,0,100,158,0,6,12,16,0,0,1,257,35,0,0,0,1,0,257,35,1,0,0,0,62,135,0,96,28,265,53,31,0,245,76,1,3,0,12,0,0,8,1,0,207,55,23,6,2,70.65,18.77,7.85,2.05,0.68,10,25,216,42,0,3.41,8.53,73.72,14.33,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,315,310,4,0,1,115,153,42,4,1,122,185,3,0,0,5,0,0,241,72,2,0,0,0,0,0,58,1,1,1,254,0,226,52,0,0,0,35,1,0,1,232,81,0,0,2,0,0,305,8,0,0,2,0,306,5,0,4,22,293,116,140,6,259,149,10,95,2,23,2,7,17,0,0,36,81,101,79,18,11.43,25.71,32.06,25.08,5.71,73,168,71,3,0,23.17,53.33,22.54,0.95,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,296,296,0,0,0,24,253,15,3,1,23,267,1,0,0,5,0,0,153,142,0,0,0,1,0,0,25,9,1,0,254,7,8,276,0,0,1,7,4,0,0,214,78,1,0,3,0,0,289,3,1,1,2,1,19,271,0,5,18,278,102,136,0,266,154,7,7,2,29,2,12,11,0,0,15,27,200,48,6,5.07,9.12,67.57,16.22,2.03,8,246,39,3,0,2.7,83.11,13.18,1.01,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,527,524,2,0,1,75,360,89,3,0,69,431,3,0,1,23,0,0,369,154,1,0,2,0,0,1,61,11,3,1,451,0,234,271,0,0,6,16,0,0,0,376,147,0,0,4,0,0,516,7,2,0,2,0,412,106,1,8,17,510,211,291,2,432,360,51,229,13,71,14,92,83,1,0,16,62,207,183,59,3.04,11.76,39.28,34.72,11.2,101,355,65,6,0,19.17,67.36,12.33,1.14,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,5,757,744,11,1,1,32,542,180,3,0,19,596,2,0,3,137,0,0,526,228,1,0,1,1,0,0,32,13,11,3,693,5,211,513,0,0,6,27,0,0,0,257,494,2,0,4,0,0,751,6,0,0,0,0,646,108,0,3,15,742,256,430,11,655,604,99,345,9,170,26,306,167,6,2,7,28,271,293,158,0.92,3.7,35.8,38.71,20.87,344,316,92,5,0,45.44,41.74,12.15,0.66,0
