province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,variable,value
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,total_households,283
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,home_ownership_owned,274
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,home_ownership_rented,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,home_ownership_institutional,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,home_ownership_other,7
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,foundation_mud,228
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,foundation_mud_bonded_bricks_stone,10
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,foundation_cement_bonded_bricks_stone,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,foundation_reinforced_cement_concrete_with_pillars,37
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,foundation_wooden_pillars,7
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,outer_wall_mud_bonded_bricks_stone,154
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,outer_wall_cement_bonded_bricks_stone,8
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,outer_wall_wood_planks,112
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,outer_wall_bamboo,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,outer_wall_unbaked_bricks,4
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,outer_wall_galvanised_sheet,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,outer_wall_prefabricated_sheet,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,outer_wall_other,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,roof_galvanised_sheet,279
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,roof_reinforced_cement_concrete,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,roof_thatch_straw,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,roof_tile,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,roof_stone_slate,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,roof_wood_planks,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,roof_mud,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,roof_other,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,housing,floor_mud,252
