province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,total_households,population_total,population_male,population_female,average_household_size,sex_ratio,total_population_10_years_and_older,male_population_10_years_and_older,female_population_10_years_and_older,total_usually_economically_active_employed,male_usually_economically_active_employed,female_usually_economically_active_employed,total_usually_economically_active_unemployed,male_usually_economically_active_unemployed,female_usually_economically_active_unemployed,total_not_usually_economically_active,male_not_usually_economically_active,female_not_usually_economically_active,total_not_economically_active,male_not_economically_active,female_not_economically_active,total_economic_activity_not_stated,male_economic_activity_not_stated,female_economic_activity_not_stated,total_all_ages,total_00_04_yrs,total_05_09_yrs,total_10_14_yrs,total_15_19_yrs,total_20_24_yrs,total_25_29_yrs,total_30_34_yrs,total_35_39_yrs,total_40_44_yrs,total_45_49_yrs,total_50_54_yrs,total_55_59_yrs,total_60_64_yrs,total_65_69_yrs,total_70_74_yrs,total_75_79_yrs,total_80_84_yrs,total_85_89_yrs,total_90_94_yrs,total_95plus_yrs,male_all_ages,male_00_04_yrs,male_05_09_yrs,male_10_14_yrs,male_15_19_yrs,male_20_24_yrs,male_25_29_yrs,male_30_34_yrs,male_35_39_yrs,male_40_44_yrs,male_45_49_yrs,male_50_54_yrs,male_55_59_yrs,male_60_64_yrs,male_65_69_yrs,male_70_74_yrs,male_75_79_yrs,male_80_84_yrs,male_85_89_yrs,male_90_94_yrs,male_95plus_yrs,female_all_ages,female_00_04_yrs,female_05_09_yrs,female_10_14_yrs,female_15_19_yrs,female_20_24_yrs,female_25_29_yrs,female_30_34_yrs,female_35_39_yrs,female_40_44_yrs,female_45_49_yrs,female_50_54_yrs,female_55_59_yrs,female_60_64_yrs,female_65_69_yrs,female_70_74_yrs,female_75_79_yrs,female_80_84_yrs,female_85_89_yrs,female_90_94_yrs,female_95plus_yrs,total_children_5_17,male_children_5_17,female_children_5_17,currently_attending_school_male,currently_attending_school_female,oos_ever_attended_school_male,oos_ever_attended_school_female,oos_never_attended_school_male,oos_never_attended_school_female,currently_attending_school_total_pc,currently_attending_school_male_pc,currently_attending_school_female_pc,oos_ever_attended_school_total_pc,oos_ever_attended_school_male_pc,oos_ever_attended_school_female_pc,oos_never_attended_school_total_pc,oos_never_attended_school_male_pc,oos_never_attended_school_female_pc,population_15plus_total,population_15plus_male,population_15plus_female,literate_population_total,literate_population_male,literate_population_female,literacy_rate_total,literacy_rate_male,literacy_rate_female,population_0_14,population_15_64,population_65plus,child_dependency_ratio,elderly_dependency_ratio,total_dependency_ratio,population_5plus_total,population_5plus_male,population_5plus_female,education_level_illiterate_male,education_level_illiterate_female,education_level_early_childhood_male,education_level_early_childhood_female,education_level_basic_level_male,education_level_basic_level_female,education_level_secondary_male,education_level_secondary_female,education_level_higher_education_male,education_level_higher_education_female,education_level_other_male,education_level_other_female,education_level_illiterate_pc_total,education_level_illiterate_pc_male,education_level_illiterate_pc_female,education_level_early_childhood_pc_total,education_level_early_childhood_pc_male,education_level_early_childhood_pc_female,education_level_basic_level_pc_total,education_level_basic_level_pc_male,education_level_basic_level_pc_female,education_level_secondary_pc_total,education_level_secondary_pc_male,education_level_secondary_pc_female,education_level_higher_education_pc_total,education_level_higher_education_pc_male,education_level_higher_education_pc_female,education_level_other_pc_total,education_level_other_pc_male,education_level_other_pc_female,population_urban,population_peri_urban,population_rural,population_pc_urban,population_pc_peri_urban,population_pc_rural,population_20_24_total,population_20_24_male,population_20_24_female,population_married_before_18_total,population_married_before_18_male,population_married_before_18_female,child_marriage_rate_total,child_marriage_rate_male,child_marriage_rate_female,total_population,population_with_disabilities,population_without_disabilities,population_disability_not_reported,disability_prevlance_rate,population_density
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,283,826,420,406,2.918727915194346,103.44827586206897,679,349,330,444,225,219,10,8,2,108,54,54,117,62,55,0,0,0,826,89,58,32,54,77,61,57,46,63,54,56,40,36,31,41,20,6,4,1,0,420,40,31,21,19,44,31,30,26,25,31,26,23,14,20,21,13,1,3,1,0,406,49,27,11,35,33,30,27,20,38,23,30,17,22,11,20,7,5,1,0,0,113,61,52,35,36,3,2,23,14,62.83,57.38,69.23,4.42,4.92,3.85,32.74,37.7,26.92,647,328,319,251,142,109,38.79,43.29,34.17,179,544,103,32.9,18.93,51.84,737,380,357,208,224,9,7,102,59,58,59,1,5,2,3,58.62,54.74,62.75,2.17,2.37,1.96,21.85,26.84,16.53,15.88,15.26,16.53,0.81,0.26,1.4,0.68,0.53,0.84,0,0,826,0,0,100,77,44,33,9,1,8,11.69,2.27,24.24,826,31,795,0,3.75,12.7806800185162
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,163,550,293,257,3.374233128834356,114.00778210116731,481,256,225,331,189,142,16,8,8,40,21,19,94,38,56,0,0,0,550,45,24,13,29,51,65,64,41,56,35,37,31,27,9,6,5,6,2,3,1,293,24,13,5,14,27,33,34,27,27,24,18,16,16,3,2,2,4,2,2,0,257,21,11,8,15,24,32,30,14,29,11,19,15,11,6,4,3,2,0,1,1,56,29,27,20,21,7,4,2,2,73.21,68.97,77.78,19.64,24.14,14.81,7.14,6.9,7.41,468,251,217,321,195,126,68.59,77.69,58.06,82,436,32,18.81,7.34,26.15,505,269,236,57,92,5,2,86,55,74,56,30,16,17,15,29.5,21.19,38.98,1.39,1.86,0.85,27.92,31.97,23.31,25.74,27.51,23.73,9.11,11.15,6.78,6.34,6.32,6.36,0,0,550,0,0,100,51,27,24,5,2,3,9.8,7.41,12.5,550,8,542,0,1.45,3.51373852918496
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,3,169,508,253,255,3.0059171597633134,99.2156862745098,446,219,227,184,98,86,9,5,4,79,44,35,174,72,102,0,0,0,508,34,28,22,23,30,53,34,19,47,41,38,23,38,21,30,10,11,4,0,2,253,23,11,13,10,19,27,15,13,22,17,18,9,20,12,12,4,6,2,0,0,255,11,17,9,13,11,26,19,6,25,24,20,14,18,9,18,6,5,2,0,2,59,27,32,24,28,2,2,1,2,88.14,88.89,87.5,6.78,7.41,6.25,5.08,3.7,6.25,424,206,218,221,132,89,52.12,64.08,40.83,84,346,78,24.28,22.54,46.82,474,230,244,75,131,4,6,110,68,33,32,4,5,4,2,43.46,32.61,53.69,2.11,1.74,2.46,37.55,47.83,27.87,13.71,14.35,13.11,1.9,1.74,2.05,1.27,1.74,0.82,0,0,508,0,0,100,30,19,11,4,2,2,13.33,10.53,18.18,508,33,475,0,6.5,9.37285126692812
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,5,583,2472,1273,1199,4.240137221269297,106.17180984153461,2128,1115,1013,1034,592,442,253,118,135,222,93,129,619,312,307,0,0,0,2472,173,171,170,229,266,228,216,177,156,148,129,112,92,71,49,36,37,11,1,0,1273,82,76,96,115,151,122,113,96,79,69,60,66,47,34,25,19,16,6,1,0,1199,91,95,74,114,115,106,103,81,77,79,69,46,45,37,24,17,21,5,0,0,462,243,219,227,209,10,7,3,3,94.37,93.42,95.43,3.68,4.12,3.2,1.3,1.23,1.37,1958,1019,939,1335,793,542,68.18,77.82,57.72,514,1753,205,29.32,11.69,41.02,2299,1191,1108,229,400,34,34,437,282,408,290,50,61,33,41,27.36,19.23,36.1,2.96,2.85,3.07,31.27,36.69,25.45,30.36,34.26,26.17,4.83,4.2,5.51,3.22,2.77,3.7,0,0,2472,0,0,100,266,151,115,5,2,3,1.88,1.32,2.61,2472,60,2412,0,2.43,18.8742365411404
Bagmati,Rasuwa,Aamachhodingmo,NP03,NP0329,NP0329401,1,311,1491,755,736,4.794212218649518,102.58152173913044,1173,599,574,716,377,339,10,6,4,201,92,109,246,124,122,0,0,0,1491,149,169,151,177,141,128,91,98,80,68,52,46,46,34,32,22,4,1,1,1,755,72,84,78,90,74,62,37,53,45,34,26,23,29,16,16,11,4,0,1,0,736,77,85,73,87,67,66,54,45,35,34,26,23,17,18,16,11,0,1,0,1,435,225,210,217,203,8,7,0,0,96.55,96.44,96.67,3.45,3.56,3.33,0,0,0,1022,521,501,785,428,357,76.81,82.15,71.26,469,927,95,50.59,10.25,60.84,1342,683,659,93,144,19,22,380,353,171,126,5,1,15,13,17.66,13.62,21.85,3.06,2.78,3.34,54.62,55.64,53.57,22.13,25.04,19.12,0.45,0.73,0.15,2.09,2.2,1.97,0,0,1491,0,0,100,141,74,67,7,2,5,4.96,2.7,7.46,1491,7,1484,0,0.47,83.941293114776
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,293,1205,598,607,4.112627986348123,98.5172981878089,935,474,461,405,256,149,30,22,8,274,106,168,226,90,136,0,0,0,1205,128,142,102,102,107,81,93,108,66,46,50,42,41,42,27,16,10,2,0,0,598,57,67,56,43,59,39,54,53,33,24,24,22,18,23,14,6,5,1,0,0,607,71,75,46,59,48,42,39,55,33,22,26,20,23,19,13,10,5,1,0,0,303,148,155,134,142,12,9,2,4,91.09,90.54,91.61,6.93,8.11,5.81,1.98,1.35,2.58,833,418,415,459,264,195,55.1,63.16,46.99,372,736,97,50.54,13.18,63.72,1077,541,536,154,223,25,19,251,216,95,67,1,1,15,10,35,28.47,41.6,4.09,4.62,3.54,43.36,46.4,40.3,15.04,17.56,12.5,0.19,0.18,0.19,2.32,2.77,1.87,0,0,1205,0,0,100,107,59,48,20,4,16,18.69,6.78,33.33,1205,18,1187,0,1.49,15.1241196334682
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,315,1277,611,666,4.053968253968254,91.74174174174175,1062,519,543,337,207,130,44,43,1,242,120,122,439,149,290,0,0,0,1277,111,104,120,110,128,130,106,72,62,43,81,40,47,44,36,20,11,10,1,1,611,49,43,49,52,67,73,49,39,25,18,42,18,30,23,17,8,7,1,0,1,666,62,61,71,58,61,57,57,33,37,25,39,22,17,21,19,12,4,9,1,0,283,116,167,112,163,3,4,1,0,97.17,96.55,97.6,2.47,2.59,2.4,0.35,0.86,0,942,470,472,700,387,313,74.31,82.34,66.31,335,819,123,40.9,15.02,55.92,1166,562,604,84,159,14,19,221,192,206,197,26,24,11,13,20.84,14.95,26.32,2.83,2.49,3.15,35.42,39.32,31.79,34.56,36.65,32.62,4.29,4.63,3.97,2.06,1.96,2.15,0,0,1277,0,0,100,128,67,61,15,1,14,11.72,1.49,22.95,1277,53,1224,0,4.15,84.9353320871717
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,296,1113,568,545,3.760135135135135,104.22018348623854,957,485,472,303,163,140,59,39,20,467,215,252,128,68,60,0,0,0,1113,72,84,103,103,97,104,83,83,63,49,64,40,48,36,27,36,14,5,1,1,568,38,45,48,56,51,40,40,43,33,25,29,25,27,19,16,21,6,4,1,1,545,34,39,55,47,46,64,43,40,30,24,35,15,21,17,11,15,8,1,0,0,253,126,127,115,122,8,4,3,1,93.68,91.27,96.06,4.74,6.35,3.15,1.58,2.38,0.79,854,437,417,557,306,251,65.22,70.02,60.19,259,734,120,35.29,16.35,51.63,1041,530,511,134,167,17,14,192,160,172,154,8,8,7,8,28.91,25.28,32.68,2.98,3.21,2.74,33.81,36.23,31.31,31.32,32.45,30.14,1.54,1.51,1.57,1.44,1.32,1.57,0,0,1113,0,0,100,97,51,46,9,1,8,9.28,1.96,17.39,1113,31,1082,0,2.79,92.2053506773282
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,527,2048,1019,1029,3.886148007590133,99.02818270165209,1718,850,868,734,428,306,33,26,7,580,229,351,371,167,204,0,0,0,2048,175,155,152,168,211,197,153,137,112,107,97,107,98,76,36,35,22,6,3,1,1019,86,83,82,83,108,93,76,70,52,52,51,57,47,34,18,15,7,3,2,0,1029,89,72,70,85,103,104,77,67,60,55,46,50,51,42,18,20,15,3,1,1,408,215,193,207,185,8,7,0,1,96.08,96.28,95.85,3.68,3.72,3.63,0.25,0,0.52,1566,768,798,1019,563,456,65.07,73.31,57.14,482,1387,179,34.75,12.91,47.66,1873,933,940,206,342,27,22,368,258,293,253,28,41,11,24,29.26,22.08,36.38,2.62,2.89,2.34,33.42,39.44,27.45,29.15,31.4,26.91,3.68,3,4.36,1.87,1.18,2.55,0,0,2048,0,0,100,211,108,103,23,6,17,10.9,5.56,16.5,2048,60,1988,0,2.93,279.845494678836
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,5,757,2912,1439,1473,3.846763540290621,97.69178547182621,2448,1193,1255,1010,631,379,57,35,22,460,155,305,921,372,549,0,0,0,2912,211,253,231,267,266,226,273,216,173,162,161,124,102,94,57,51,27,16,2,0,1439,113,133,119,129,123,108,142,102,72,87,75,64,57,42,26,22,16,9,0,0,1473,98,120,112,138,143,118,131,114,101,75,86,60,45,52,31,29,11,7,2,0,635,328,307,309,294,9,11,10,2,94.96,94.21,95.77,3.15,2.74,3.58,1.89,3.05,0.65,2217,1074,1143,1476,804,672,66.58,74.86,58.79,695,1970,247,35.28,12.54,47.82,2701,1326,1375,277,472,51,49,459,378,407,358,109,72,23,46,27.73,20.89,34.33,3.7,3.85,3.56,30.99,34.62,27.49,28.32,30.69,26.04,6.7,8.22,5.24,2.55,1.73,3.35,2912,0,0,100,0,0,266,123,143,27,3,24,10.15,2.44,16.78,2912,92,2820,0,3.16,669.112265871024
