province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,variable,value
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,total_households,283
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,population_total,826
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,population_male,420
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,population_female,406
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,average_household_size,2.918727915194346
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,sex_ratio,103.44827586206897
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,total_population_10_years_and_older,679
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,male_population_10_years_and_older,349
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,female_population_10_years_and_older,330
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,total_usually_economically_active_employed,444
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,male_usually_economically_active_employed,225
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,female_usually_economically_active_employed,219
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,total_usually_economically_active_unemployed,10
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,male_usually_economically_active_unemployed,8
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,female_usually_economically_active_unemployed,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,total_not_usually_economically_active,108
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,male_not_usually_economically_active,54
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,female_not_usually_economically_active,54
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,total_not_economically_active,117
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,male_not_economically_active,62
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,female_not_economically_active,55
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,total_economic_activity_not_stated,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,male_economic_activity_not_stated,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,economic activity,female_economic_activity_not_stated,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_all_ages,826
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_00_04_yrs,89
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_05_09_yrs,58
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_10_14_yrs,32
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_15_19_yrs,54
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_20_24_yrs,77
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_25_29_yrs,61
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_30_34_yrs,57
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_35_39_yrs,46
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_40_44_yrs,63
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_45_49_yrs,54
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_50_54_yrs,56
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_55_59_yrs,40
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_60_64_yrs,36
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_65_69_yrs,31
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_70_74_yrs,41
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,five-year age group,total_75_79_yrs,20
