adm1_name,adm2_name,adm3_name,type,name,y,x,damage,ownership
Bagmati,Dhading,Galchhi,Medical Facility,Baireni Hospital,27.801106,84.987398,Partially Damaged,Public
Bagmati,Dhading,Benighat Rorang,Medical Facility,Charaudi BHSC,27.803445,84.749077,Partially Damaged,Public
Bagmati,Rasuwa,Uttargaya,Medical Facility,Mailung CHU,28.053699,85.2069,Fully Damaged,Public
Bagmati,Nuwakot,Bidur,Medical Facility,Nuwakot Hospital Pvt Ltd,27.921761,85.148232,Partially Damaged,Private
Bagmati,Rasuwa,Gosaikunda,Medical Facility,Panta Medical Hall,28.162001,85.3367,Fully Damaged,Private
Bagmati,Rasuwa,Gosaikunda,Medical Facility,Syafrubesi HP,28.1653,85.3412,Fully Damaged,Public
Bagmati,Rasuwa,Gosaikunda,Medical Facility,Timure HP,28.242348,85.358448,Fully Damaged,Public
Bagmati,Rasuwa,Gosaikunda,Medical Facility,Timure POE,28.255946,85.367223,Fully Damaged,Public
Bagamati,Dhading,Benighat Rorang,School,Tin Kanya Bagesori  Basic School,27.808539,84.831258,Not Known,Public
Bagamati,Dhading,Benighat Rorang,School,Chandrodaya Secondary School,27.808578,84.773872,Not Known,Public
Bagamati,Dhading,Benighat Rorang,School,Bright Future Eng. Boarding School,27.812662,84.82932,Not Known,Private
Bagamati,Dhading,Benighat Rorang,School,Rising Star English Boarding School,27.801307,84.739651,Not Known,Private
Bagamati,Dhading,Benighat Rorang,School,Shankhadevi Secondary School,27.805847,84.704951,Not Known,Public
Bagamati,Nuwakot,Bidur,School,Tribhuvan Trishuli Secondary School,27.923659,85.150008,Not Known,Public
Bagamati,Nuwakot,Bidur,School,Trishuli Samudaik Boarding School,27.924068,85.149765,Not Known,Private
Bagamati,Nuwakot,Bidur,School,Ramchandra Basic School,27.970926,85.184504,Not Known,Public
Gandaki,Gorkha,Gandaki,School,Shree Chitra Devi Basic School,27.812555,84.756744,Not Known,Public
Gandaki,Gorkha,Gandaki,School,Madrassa Islamiya Faijul Ulum,27.812555,84.756744,Not Known,Public
