adm1_name,adm2_name,adm3_name,adm1_pcode,adm2_pcode,adm3_pcode
Bagmati,Sindhuli,Kamalamai,NP03,NP0320,NP0320301
Bagmati,Sindhuli,Dudhouli,NP03,NP0320,NP0320302
Bagmati,Sindhuli,Hariharpurgaghi,NP03,NP0320,NP0320401
Bagmati,Sindhuli,Marin,NP03,NP0320,NP0320402
Bagmati,Sindhuli,Ghyanglekha,NP03,NP0320,NP0320403
Bagmati,Sindhuli,Sunkoshi,NP03,NP0320,NP0320404
Bagmati,Sindhuli,Golanjor,NP03,NP0320,NP0320405
Bagmati,Sindhuli,Tinpatan,NP03,NP0320,NP0320406
Bagmati,Sindhuli,Phikkal,NP03,NP0320,NP0320407
Bagmati,Ramechhap,Manthali,NP03,NP0321,NP0321301
Bagmati,Ramechhap,Ramechhap,NP03,NP0321,NP0321302
Bagmati,Ramechhap,Sunapati,NP03,NP0321,NP0321401
Bagmati,Ramechhap,Doramba,NP03,NP0321,NP0321402
Bagmati,Ramechhap,Gokulganga,NP03,NP0321,NP0321403
Bagmati,Ramechhap,Umakunda,NP03,NP0321,NP0321404
Bagmati,Ramechhap,Khandadevi,NP03,NP0321,NP0321405
Bagmati,Ramechhap,Likhu Tamakoshi,NP03,NP0321,NP0321406
Bagmati,Dolakha,Bhimeshwor,NP03,NP0322,NP0322301
Bagmati,Dolakha,Jiri,NP03,NP0322,NP0322302
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403
Bagmati,Dolakha,Baiteshwor,NP03,NP0322,NP0322404
Bagmati,Dolakha,Shailung,NP03,NP0322,NP0322405
Bagmati,Dolakha,Melung,NP03,NP0322,NP0322406
Bagmati,Dolakha,Tamakoshi,NP03,NP0322,NP0322407
Bagmati,Sindhupalchok,Melamchi,NP03,NP0323,NP0323301
Bagmati,Sindhupalchok,Choutara Sangachowkgadhi,NP03,NP0323,NP0323302
Bagmati,Sindhupalchok,Bahrabise,NP03,NP0323,NP0323303
Bagmati,Sindhupalchok,Helambu,NP03,NP0323,NP0323401
Bagmati,Sindhupalchok,Panchpokhari Thangpal,NP03,NP0323,NP0323402
Bagmati,Sindhupalchok,Jugal,NP03,NP0323,NP0323403
Bagmati,Sindhupalchok,Bhotekoshi,NP03,NP0323,NP0323404
Bagmati,Sindhupalchok,Indrawoti,NP03,NP0323,NP0323405
Bagmati,Sindhupalchok,Balephi,NP03,NP0323,NP0323406
Bagmati,Sindhupalchok,Sunkoshi,NP03,NP0323,NP0323407
Bagmati,Sindhupalchok,Tripurasundari,NP03,NP0323,NP0323408
Bagmati,Sindhupalchok,Lisankhu Pakhar,NP03,NP0323,NP0323409
Bagmati,Kavrepalanchok,Mandan Deupur,NP03,NP0324,NP0324301
Bagmati,Kavrepalanchok,Banepa,NP03,NP0324,NP0324302
Bagmati,Kavrepalanchok,Dhulikhel,NP03,NP0324,NP0324303
Bagmati,Kavrepalanchok,Panchkhal,NP03,NP0324,NP0324304
Bagmati,Kavrepalanchok,Panauti,NP03,NP0324,NP0324305
Bagmati,Kavrepalanchok,Namobuddha,NP03,NP0324,NP0324306
Bagmati,Kavrepalanchok,Bhumlu,NP03,NP0324,NP0324401
Bagmati,Kavrepalanchok,Chauri Deurali,NP03,NP0324,NP0324402
Bagmati,Kavrepalanchok,Bethanchowk,NP03,NP0324,NP0324403
Bagmati,Kavrepalanchok,Roshi,NP03,NP0324,NP0324404
Bagmati,Kavrepalanchok,Temal,NP03,NP0324,NP0324405
Bagmati,Kavrepalanchok,Khanikhola,NP03,NP0324,NP0324406
Bagmati,Kavrepalanchok,Mahabharat,NP03,NP0324,NP0324407
Bagmati,Lalitpur,Lalitpur,NP03,NP0325,NP0325101
Bagmati,Lalitpur,Godawari,NP03,NP0325,NP0325301
Bagmati,Lalitpur,Mahalaxmi,NP03,NP0325,NP0325302
Bagmati,Lalitpur,Bagmati,NP03,NP0325,NP0325401
Bagmati,Lalitpur,Konjyosom,NP03,NP0325,NP0325402
Bagmati,Lalitpur,Mahankal,NP03,NP0325,NP0325403
Bagmati,Bhaktapur,Madhyapur Thimi,NP03,NP0326,NP0326301
Bagmati,Bhaktapur,Changunarayan,NP03,NP0326,NP0326302
Bagmati,Bhaktapur,Bhaktapur,NP03,NP0326,NP0326303
Bagmati,Bhaktapur,Suryabinayak,NP03,NP0326,NP0326304
Bagmati,Kathmandu,Kathmandu,NP03,NP0327,NP0327101
Bagmati,Kathmandu,Tarakeshwor,NP03,NP0327,NP0327301
Bagmati,Kathmandu,Tokha,NP03,NP0327,NP0327302
Bagmati,Kathmandu,Budhanilkhantha,NP03,NP0327,NP0327303
Bagmati,Kathmandu,Gokarneshwor,NP03,NP0327,NP0327304
Bagmati,Kathmandu,Nagarjun,NP03,NP0327,NP0327305
Bagmati,Kathmandu,Kageshwori Manahara,NP03,NP0327,NP0327306
Bagmati,Kathmandu,Shankharapur,NP03,NP0327,NP0327307
Bagmati,Kathmandu,Chandragiri,NP03,NP0327,NP0327308
Bagmati,Kathmandu,Kirtipur,NP03,NP0327,NP0327309
Bagmati,Kathmandu,Dakshinkali,NP03,NP0327,NP0327310
Bagmati,Nuwakot,Bidur,NP03,NP0328,NP0328301
Bagmati,Nuwakot,Belkotgadhi,NP03,NP0328,NP0328302
Bagmati,Nuwakot,Myagang,NP03,NP0328,NP0328401
Bagmati,Nuwakot,Kispang,NP03,NP0328,NP0328402
Bagmati,Nuwakot,Tarakeshwor,NP03,NP0328,NP0328403
Bagmati,Nuwakot,Suryagadhi,NP03,NP0328,NP0328404
Bagmati,Nuwakot,Tadi,NP03,NP0328,NP0328405
Bagmati,Nuwakot,Likhu,NP03,NP0328,NP0328406
Bagmati,Nuwakot,Panchakanya,NP03,NP0328,NP0328407
Bagmati,Nuwakot,Dupcheshwor,NP03,NP0328,NP0328408
Bagmati,Nuwakot,Kakani,NP03,NP0328,NP0328409
Bagmati,Nuwakot,Shivapuri,NP03,NP0328,NP0328410
Bagmati,Nuwakot,Shivapuri,NP03,NP0328,NP0328596
Bagmati,Nuwakot,Langtang,NP03,NP0328,NP0328597
