district,adm2_pcode,municipality,adm3_pcode,affected_wards,number_of_affected_wards,households_in_affected_wards_census_2021,population_in_affected_wards_census_2021,estimated_buildings_in_damaged_corridor,total_households_in_damaged_corridor,total_population_in_damage_corridor,impacted_buildings,impacted_households,impacted_population_total,impacted_population_male,impacted_population_female,households_per_house_census_2021,household_size_census_2021,sex_ratio_census_2021,household_damage,affected_buildings,mud_bonded,cement_bonded,rcc_other,total_damage_including_household_assets_npr_crore,paddy_baseline_hectares,paddy_affected_hectares,paddy_tonnes,vegetables_baseline_hectares,vegetables_affected_hectares,vegetables_tonnes,crop_damage,total_no_of_holdings,total_area_of_area_of_holdings_hectare,total_no_of_arable_land_holdings,total_area_of_arable_area_ha,temporary_crop_holdings_number,temporary_crop_area_ha,agricultural_damage,damage_corridor_buildings,building_impact_share,estimated_affected_establishments,business_exposure,affected_cadastral_parcels,affected_hectares,affected_hectares_cadastral,cadastral_damage
Nuwakot,NP0328,Bidur,NP0328301,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12",11,13817,54144,5228,5928,23230,3026,3431,13446,6987,6458,1.1300000000000001,3.92,0.924329,1,3026,596,1407,1023,2877.63,1415,700,2450,490,98,1323,1,8974,3348,8958,2847,8926,2670,1,5228,0.579,1913,1,7627,9696.6,469.6,1
Nuwakot,NP0328,Belkotgadhi,NP0328302,"5, 7, 8",3,2662,10585,1083,1127,4483,212,221,878,453,425,1.04,3.98,0.9389,1,212,72,108,32,145.42,1673,200,700,0,0,0,1,8338,4622,8281,4184,8281,4003,1,1083,0.196,87,1,1602,3251.5,59.9,1
Nuwakot,NP0328,Kispang,NP0328402,5,1,1704,6137,906,939,3382,696,721,2598,1330,1268,1.04,3.6,0.952943,1,696,231,342,123,497.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906,0.768,147,1,361,1026.6,26.7,1
Nuwakot,NP0328,Tarakeshwor,NP0328403,"2, 4",2,1266,4552,178,185,665,43,45,161,85,75,1.04,3.6,0.887928,1,43,22,16,5,26.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,0.242,35,1,487,2468,28.6,1
Nuwakot,NP0328,Likhu,NP0328406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,230,805,0,0,0,1,3945,1640,3932,1375,3932,1319,1,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Aamachhodingmo,NP0329401,"1, 2, 4, 5",4,1314,5320,76,77,313,57,58,235,112,122,1.02,4.05,1.0899,1,57,32,16,9,37.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,0.75,107,1,28,14210.2,5.3,1
Rasuwa,NP0329,Gosaikunda,NP0329402,"1,2, 3, 5, 6",5,1645,6542,1303,1444,5743,1043,1156,4597,2252,2345,1.11,3.98,1.0414,1,1043,271,370,402,1030.7,234,140,491,0,0,0,1,1313,655,1300,514,1290,382,1,1303,0.8,338,1,1108,47620.3,51.8,1
Rasuwa,NP0329,Uttargaya,NP0329403,"1, 2, 3, 4, 5",5,2188,8555,665,696,2719,567,593,2319,1171,1148,1.05,3.9099999999999997,0.9803,1,567,127,344,96,411.6,238,143,500,0,0,0,1,1809,628,1809,524,1809,474,1,665,0.853,258,1,1898,10636.4,74.1,1
Rasuwa,NP0329,Kalika,NP0329404,1,1,1724,7143,114,119,491,112,116,483,243,240,1.04,4.14,0.9857,1,112,27,59,26,88.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,0.982,303,1,233,2543.9,15,1
Dhading,NP0330,Siddhalek,NP0330407,"3,4, 6, 7",4,2405,9757,758,781,3170,228,235,954,494,459,1.03,4.06,0.929639,1,228,29,94,21,134.65,2320,58,204,2615,2,27,1,5523,2658,5496,2283,5496,2143,1,758,0.301,106,1,NA,NA,NA,NA
Dhading,NP0330,Benighat Rorang,NP0330408,"3, 5, 7, 9,10",5,4517,19134,1723,1905,8068,1037,1146,4856,2401,2455,1.11,4.24,1.022583,1,1037,565,264,208,757.33,1530,25,89,3200,9,122,1,5866,2282,5825,1933,5804,1879,1,1723,0.602,893,1,NA,NA,NA,NA
Dhading,NP0330,Gajuri,NP0330409,"1, 2, 5, 6",4,4543,18225,353,396,1589,107,120,482,241,241,1.12,4.01,1.001258,1,107,45,40,22,81.34,3556,75,264,1949,7,95,1,5024,2143,4982,1868,4962,1745,1,353,0.303,62,1,NA,NA,NA,NA
Dhading,NP0330,Galchhi,NP0330410,"1, 2, 4, 6, 8",5,4873,19507,766,840,3363,79,87,347,177,170,1.1,4,0.960433,1,79,29,33,17,61.1,3460,87,303,2775,14,182,1,4958,2125,4887,1896,4887,1703,1,766,0.10300000000000001,105,1,NA,NA,NA,NA
Chitawan,NP0335,Bharatpur,NP0335101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,37094,14312,36470,12668,3647,12338,1,NA,NA,NA,NA,NA,NA,NA,NA
Chitawan,NP0335,Ichchha Kamana,NP0335401,"3,4, 5, 6",4,3078,13829,796,910,4090,100,114,514,253,260,1.1400000000000001,4.49,1.027207,1,100,47,28,25,80.93,0,0,0,0,0,0,1,4488,1936,4463,1575,4463,1418,1,796,0.126,142,1,NA,NA,NA,NA
Gorkha,NP0436,Shahid Lakhan,NP0436408,"3, 4",2,1604,6061,138,146,551,15,16,60,32,28,1.06,3.7800000000000002,0.880838,1,15,8,5,2,9.65,1778,7,23,2315,3,41,1,6177,3328,6078,2793,6078,2481,1,138,0.109,33,1,NA,NA,NA,NA
Gorkha,NP0436,Gandaki,NP0436409,"1, 2, 6, 7, 8",5,3759,15110,593,617,2478,248,258,1036,538,498,1.04,4.02,0.92652,1,248,134,89,25,147.95,371,4,14,1756,4,54,1,5518,2370,5505,1995,5505,1803,1,593,0.418,271,1,NA,NA,NA,NA
Tanahu,NP0440,Bandipur,NP0440404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,3796,1812,3725,1529,3725,1427,1,NA,NA,NA,NA,NA,NA,NA,NA
Tanahu,NP0440,Aanbu Khaireni,NP0440405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,3133,1008,3041,735,3032,635,1,NA,NA,NA,NA,NA,NA,NA,NA
Tanahu,NP0440,Devghat,NP0440406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,2946,1560,2897,1092,2897,1002,1,NA,NA,NA,NA,NA,NA,NA,NA
