district,adm2_pcode,municipality,adm3_pcode,affected_wards,number_of_affected_wards,households_in_affected_wards_census_2021,population_in_affected_wards_census_2021,estimated_buildings_in_damaged_corridor,total_households_in_damaged_corridor,total_population_in_damage_corridor,impacted_buildings,impacted_households,impacted_population_total,impacted_population_male,impacted_population_female,households_per_house_census_2021,household_size_census_2021,sex_ratio_census_2021,affected_buildings,mud_bonded,cement_bonded,rcc_other,total_damage_including_household_assets_npr_crore,building_impact_share,estimated_affected_business_establishments
Nuwakot,NP0328,Bidur,NP0328301,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12",11,13817,54144,5228,5928,23230,3026,3431,13446,6987,6458,1.13,3.92,0.924329,3026,596,1407,1023,2877.63,0.579,1913
Nuwakot,NP0328,Belkotgadhi,NP0328302,"5, 7, 8",3,2662,10585,1083,1127,4483,212,221,878,453,425,1.04,3.98,0.9389,212,72,108,32,145.42,0.196,87
Nuwakot,NP0328,Kispang,NP0328402,5,1,1704,6137,906,939,3382,696,721,2598,1330,1268,1.04,3.6,0.952943,696,231,342,123,497.54,0.768,147
Nuwakot,NP0328,Tarakeshwor,NP0328403,"2, 4",2,1266,4552,178,185,665,43,45,161,85,75,1.04,3.6,0.887928,43,22,16,5,26.69,0.242,35
Rasuwa,NP0329,Aamachhodingmo,NP0329401,"1, 2, 4, 5",4,1314,5320,76,77,313,57,58,235,112,122,1.02,4.05,1.0899,57,32,16,9,37.18,0.75,107
Rasuwa,NP0329,Gosaikunda,NP0329402,"1,2, 3, 5, 6",5,1645,6542,1303,1444,5743,1043,1156,4597,2252,2345,1.11,3.98,1.0414,1043,271,370,402,1030.7,0.8,338
Rasuwa,NP0329,Uttargaya,NP0329403,"1, 2, 3, 4, 5",5,2188,8555,665,696,2719,567,593,2319,1171,1148,1.05,3.91,0.9803,567,127,344,96,411.6,0.853,258
Rasuwa,NP0329,Kalika,NP0329404,1,1,1724,7143,114,119,491,112,116,483,243,240,1.04,4.14,0.9857,112,27,59,26,88.78,0.982,303
Dhading,NP0330,Siddhalek,NP0330407,"3,4, 6, 7",4,2405,9757,758,781,3170,228,235,954,494,459,1.03,4.06,0.929639,228,29,94,21,134.65,0.301,106
Dhading,NP0330,Benighat Rorang,NP0330408,"3, 5, 7, 9,10",5,4517,19134,1723,1905,8068,1037,1146,4856,2401,2455,1.11,4.24,1.022583,1037,565,264,208,757.33,0.602,893
Dhading,NP0330,Gajuri,NP0330409,"1, 2, 5, 6",4,4543,18225,353,396,1589,107,120,482,241,241,1.12,4.01,1.001258,107,45,40,22,81.34,0.303,62
Dhading,NP0330,Galchhi,NP0330410,"1, 2, 4, 6, 8",5,4873,19507,766,840,3363,79,87,347,177,170,1.1,4,0.960433,79,29,33,17,61.1,0.103,105
Chitawan,NP0335,Ichchha Kamana,NP0335401,"3,4, 5, 6",4,3078,13829,796,910,4090,100,114,514,253,260,1.14,4.49,1.027207,100,47,28,25,80.93,0.126,142
Gorkha,NP0436,Shahid Lakhan,NP0436408,"3, 4",2,1604,6061,138,146,551,15,16,60,32,28,1.06,3.78,0.880838,15,8,5,2,9.65,0.109,33
Gorkha,NP0436,Gandaki,NP0436409,"1, 2, 6, 7, 8",5,3759,15110,593,617,2478,248,258,1036,538,498,1.04,4.02,0.92652,248,134,89,25,147.95,0.418,271
