district,municipality,population_affected_wards_census,population_rdna_presentation,difference
Chitawan,Ichchha Kamana,14801,13829,972
Dhading,Benighat Rorang,19237,19134,103
Dhading,Gajuri,18225,18225,0
Dhading,Galchhi,15957,19507,-3550
Dhading,Siddhalek,12362,9757,2605
Gorkha,Gandaki,15110,15110,0
Gorkha,Shahid Lakhan,6061,6061,0
Nuwakot,Belkotgadhi,10585,10585,0
Nuwakot,Bidur,51938,54144,-2206
Nuwakot,Kispang,3387,6137,-2750
Nuwakot,Tarakeshwor,4552,4552,0
Rasuwa,Aamachhodingmo,5320,5320,0
Rasuwa,Gosaikunda,7368,6542,826
Rasuwa,Kalika,2579,7143,-4564
Rasuwa,Uttargaya,8555,8555,0
