province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,total_households,home_ownership_owned,home_ownership_rented,home_ownership_institutional,home_ownership_other,foundation_mud,foundation_mud_bonded_bricks_stone,foundation_cement_bonded_bricks_stone,foundation_reinforced_cement_concrete_with_pillars,foundation_wooden_pillars,outer_wall_mud_bonded_bricks_stone,outer_wall_cement_bonded_bricks_stone,outer_wall_wood_planks,outer_wall_bamboo,outer_wall_unbaked_bricks,outer_wall_galvanised_sheet,outer_wall_prefabricated_sheet,outer_wall_other,roof_galvanised_sheet,roof_reinforced_cement_concrete,roof_thatch_straw,roof_tile,roof_stone_slate,roof_wood_planks,roof_mud,roof_other,floor_mud,floor_wooden_plank_bamboo,floor_bricks_stone,floor_ceramic_tile,floor_cemented,floor_other,drinking_water_tap_piped_within_premises,drinking_water_tap_piped_outside_premises,drinking_water_tubewell_handpump,drinking_water_covered_well_kuwa,drinking_water_uncovered_well_kuwa,drinking_water_spout_water,drinking_water_river_stream,drinking_water_jar_bottle,drinking_water_other,cooking_fuel_wood_firewood,cooking_fuel_lpg,cooking_fuel_electricity,cooking_fuel_cowdung,cooking_fuel_biogas,cooking_fuel_kerosene,cooking_fuel_other,lighting_electricity,lighting_solar,lighting_kerosene,lighting_biogas,lighting_other,toilet_flush_public_sewerage,toilet_flush_septic_tank,toilet_pit,toilet_public,toilet_no_toilet,hh_amenities_without,hh_amenities_at_least_one,hh_amenities_radio,hh_amenities_television,hh_amenities_landline,hh_amenities_mobile_phone_ordinary,hh_amenities_mobile_phone_smart,hh_amenities_computer_laptop,hh_amenities_internet,hh_amenities_car_jeep_van,hh_amenities_motorcycle_scooter,hh_amenities_bicycle,hh_amenities_electric_fan,hh_amenities_refridgerator,hh_amenities_washing_machine,hh_amenities_air_conditioner,wealth_quintile_poorest_quintile_count,wealth_quintile_poorer_quintile_count,wealth_quintile_middle_quintile_count,wealth_quintile_richer_quintile_count,wealth_quintile_richest_quintile_count,wealth_quintile_poorest_quintile_pc,wealth_quintile_poorer_quintile_pc,wealth_quintile_middle_quintile_pc,wealth_quintile_richer_quintile_pc,wealth_quintile_richest_quintile_pc,house_quality_most_adequate_count,house_quality_adequate_count,house_quality_moderate_count,house_quality_inadequate_count,house_quality_least_adequate_count,house_quality_most_adequate_pc,house_quality_adequate_pc,house_quality_moderate_pc,house_quality_inadequate_pc,house_quality_least_adequate_pc
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,4399,4353,26,11,9,3241,1041,72,41,4,3309,1024,26,5,1,28,2,4,4127,205,3,4,44,14,0,2,2271,136,171,6,1790,25,2172,1930,0,13,60,209,5,0,10,4246,140,1,0,8,1,3,4307,80,4,2,6,14,3113,1233,3,36,220,4179,2792,1539,64,3840,2429,186,1080,93,220,51,55,86,17,17,1122,1694,1274,249,60,25.51,38.51,28.96,5.66,1.36,36,1643,2672,45,3,0.82,37.35,60.74,1.02,0.07
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,4747,4579,138,24,6,3195,1327,170,46,9,3358,1249,43,5,0,91,0,1,4406,280,4,3,46,5,0,3,2560,106,76,10,1974,21,1816,2678,0,39,47,157,8,0,2,4177,561,2,0,5,2,0,4561,167,3,1,15,28,3337,1336,5,41,510,4237,2220,1520,34,3440,2366,116,455,18,153,23,88,103,6,6,1308,1841,1191,338,69,27.55,38.78,25.09,7.12,1.45,302,1653,2714,75,3,6.36,34.82,57.17,1.58,0.06
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,6151,6018,111,10,12,3997,1807,228,100,19,4026,1903,105,5,0,104,5,3,5616,471,8,2,45,7,0,2,3439,137,44,12,2482,37,2809,2901,0,1,69,355,14,0,2,5522,612,0,0,16,1,0,6008,135,2,0,6,39,5019,1048,8,37,518,5633,3505,2794,55,4809,2812,200,410,28,257,43,168,169,8,1,1654,2233,1777,372,115,26.89,36.3,28.89,6.05,1.87,276,2366,3418,89,2,4.49,38.47,55.57,1.45,0.03
Bagmati,Dolakha,Baiteshwor,NP03,NP0322,NP0322404,5373,5173,164,20,16,1478,3092,709,78,16,1309,3934,52,10,1,62,2,3,4014,1264,3,3,86,1,0,2,730,88,72,24,4414,45,1357,3737,0,9,53,214,2,0,1,4717,649,1,0,5,1,0,5322,38,11,0,2,11,2302,3016,10,34,262,5111,3870,2725,60,4607,2877,443,1001,86,505,66,134,283,14,3,384,980,2955,813,241,7.15,18.24,55,15.13,4.49,381,3811,1136,43,2,7.09,70.93,21.14,0.8,0.04
Bagmati,Dolakha,Jiri,NP03,NP0322,NP0322302,4244,3991,195,45,13,2681,1184,193,163,23,1747,2089,257,3,10,122,4,12,3741,410,7,3,68,14,0,1,933,77,21,5,3175,33,2512,1424,0,52,167,51,22,1,15,3396,822,3,0,21,2,0,4204,23,8,0,9,5,2615,1537,9,78,193,4051,2660,2208,110,3490,2822,423,880,59,533,65,41,161,33,2,417,1289,1795,531,212,9.83,30.37,42.3,12.51,5,252,2542,1398,51,1,5.94,59.9,32.94,1.2,0.02
Bagmati,Dolakha,Tamakoshi,NP03,NP0322,NP0322407,4485,4398,73,10,4,1604,2582,247,44,8,1516,2912,23,4,1,28,0,1,3839,601,9,9,23,1,0,3,581,58,34,15,3758,39,1102,3018,0,10,75,269,4,0,7,4019,335,2,0,127,2,0,4438,31,5,1,10,4,3043,1406,3,29,227,4258,3308,2488,23,3772,2074,140,1438,28,240,28,226,163,1,3,356,903,2234,897,95,7.94,20.13,49.81,20,2.12,275,3202,981,25,2,6.13,71.39,21.87,0.56,0.04
Bagmati,Dolakha,Melung,NP03,NP0322,NP0322406,4796,4742,41,5,8,3537,961,252,40,6,3315,1426,17,7,2,26,2,1,4293,444,5,23,31,0,0,0,2721,79,27,8,1934,27,1919,2068,0,23,136,590,44,1,15,4563,227,0,0,6,0,0,4724,59,7,0,6,30,3498,1218,17,33,303,4493,2992,2223,24,4111,1913,110,897,29,171,36,94,137,1,2,1480,1571,1440,266,39,30.86,32.76,30.03,5.55,0.81,87,1785,2845,78,1,1.81,37.22,59.32,1.63,0.02
Bagmati,Dolakha,Shailung,NP03,NP0322,NP0322405,5134,5023,95,9,7,3409,1364,297,52,12,3457,1580,31,2,2,58,1,3,4485,553,7,1,84,1,0,3,2715,93,31,9,2270,16,1978,3005,0,6,40,95,7,1,2,4713,412,3,0,5,0,1,5111,6,6,0,11,8,4703,392,11,20,276,4858,3295,2532,56,4202,2337,140,1305,59,292,37,42,93,5,2,1071,1788,1756,426,93,20.86,34.83,34.2,8.3,1.81,274,2149,2687,23,1,5.34,41.86,52.34,0.45,0.02
Bagmati,Dolakha,Bhimeshwor,NP03,NP0322,NP0322301,10164,8612,1444,81,27,2531,4035,3126,398,74,2147,7361,139,13,5,479,2,18,6210,3861,14,12,53,11,0,3,1877,212,50,53,7917,55,4732,4799,0,7,94,493,15,8,16,5957,4044,12,0,144,1,6,10068,68,18,1,9,11,9391,707,4,51,390,9774,6494,6351,345,8122,6225,1305,2785,281,1388,168,377,1120,141,13,688,1476,3892,2793,1315,6.77,14.52,38.29,27.48,12.94,3371,4838,1812,140,3,33.17,47.6,17.83,1.38,0.03
Bagmati,Sindhupalchok,Bhotekoshi,NP03,NP0323,NP0323404,3732,3494,199,32,7,917,1948,554,298,15,800,2331,251,9,3,324,4,10,2585,1060,17,6,40,19,0,5,877,153,23,13,2645,21,700,2642,0,2,59,307,15,0,7,2704,997,4,0,19,6,2,3533,168,17,0,14,8,2495,1112,37,80,512,3220,872,1562,35,2657,2182,125,441,69,345,107,138,221,15,5,465,725,1718,678,146,12.46,19.43,46.03,18.17,3.91,557,2072,908,191,4,14.92,55.52,24.33,5.12,0.11
