province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,theme,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,total_households,4399
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,home_ownership_owned,4353
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,home_ownership_rented,26
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,home_ownership_institutional,11
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,home_ownership_other,9
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,foundation_mud,3241
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,foundation_mud_bonded_bricks_stone,1041
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,foundation_cement_bonded_bricks_stone,72
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,foundation_reinforced_cement_concrete_with_pillars,41
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,foundation_wooden_pillars,4
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,outer_wall_mud_bonded_bricks_stone,3309
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,outer_wall_cement_bonded_bricks_stone,1024
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,outer_wall_wood_planks,26
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,outer_wall_bamboo,5
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,outer_wall_unbaked_bricks,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,outer_wall_galvanised_sheet,28
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,outer_wall_prefabricated_sheet,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,outer_wall_other,4
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,roof_galvanised_sheet,4127
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,roof_reinforced_cement_concrete,205
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,roof_thatch_straw,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,roof_tile,4
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,roof_stone_slate,44
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,roof_wood_planks,14
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,roof_mud,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,roof_other,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,floor_mud,2271
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,floor_wooden_plank_bamboo,136
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,floor_bricks_stone,171
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,floor_ceramic_tile,6
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,floor_cemented,1790
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,floor_other,25
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,drinking water,drinking_water_tap_piped_within_premises,2172
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,drinking water,drinking_water_tap_piped_outside_premises,1930
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,drinking water,drinking_water_tubewell_handpump,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,drinking water,drinking_water_covered_well_kuwa,13
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,drinking water,drinking_water_uncovered_well_kuwa,60
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,drinking water,drinking_water_spout_water,209
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,drinking water,drinking_water_river_stream,5
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,drinking water,drinking_water_jar_bottle,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,drinking water,drinking_water_other,10
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,cooking fuel,cooking_fuel_wood_firewood,4246
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,cooking fuel,cooking_fuel_lpg,140
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,cooking fuel,cooking_fuel_electricity,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,cooking fuel,cooking_fuel_cowdung,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,cooking fuel,cooking_fuel_biogas,8
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,cooking fuel,cooking_fuel_kerosene,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,cooking fuel,cooking_fuel_other,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,lighting fuel,lighting_electricity,4307
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,lighting fuel,lighting_solar,80
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,lighting fuel,lighting_kerosene,4
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,lighting fuel,lighting_biogas,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,lighting fuel,lighting_other,6
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,sanitation,toilet_flush_public_sewerage,14
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,sanitation,toilet_flush_septic_tank,3113
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,sanitation,toilet_pit,1233
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,sanitation,toilet_public,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,sanitation,toilet_no_toilet,36
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_without,220
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_at_least_one,4179
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_radio,2792
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_television,1539
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_landline,64
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_mobile_phone_ordinary,3840
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_mobile_phone_smart,2429
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_computer_laptop,186
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_internet,1080
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_car_jeep_van,93
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_motorcycle_scooter,220
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_bicycle,51
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_electric_fan,55
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_refridgerator,86
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_washing_machine,17
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,household amenities,hh_amenities_air_conditioner,17
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_poorest_quintile_count,1122
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_poorer_quintile_count,1694
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_middle_quintile_count,1274
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_richer_quintile_count,249
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_richest_quintile_count,60
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_poorest_quintile_pc,25.51
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_poorer_quintile_pc,38.51
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_middle_quintile_pc,28.96
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_richer_quintile_pc,5.66
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,wealth quintile,wealth_quintile_richest_quintile_pc,1.36
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_most_adequate_count,36
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_adequate_count,1643
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_moderate_count,2672
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_inadequate_count,45
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_least_adequate_count,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_most_adequate_pc,0.82
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_adequate_pc,37.35
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_moderate_pc,60.74
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_inadequate_pc,1.02
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,housing,house_quality_least_adequate_pc,0.07
