province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,theme,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,total_households,4399
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,population_total,15995
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,population_male,7853
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,population_female,8142
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,average_household_size,3.6360536485564903
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,sex_ratio,96.45050356177843
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,total_population_10_years_and_older,13509
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,male_population_10_years_and_older,6586
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,female_population_10_years_and_older,6923
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,total_usually_economically_active_employed,7863
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,male_usually_economically_active_employed,4158
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,female_usually_economically_active_employed,3705
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,total_usually_economically_active_unemployed,415
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,male_usually_economically_active_unemployed,222
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,female_usually_economically_active_unemployed,193
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,total_not_usually_economically_active,2396
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,male_not_usually_economically_active,897
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,female_not_usually_economically_active,1499
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,total_not_economically_active,2820
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,male_not_economically_active,1306
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,female_not_economically_active,1514
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,total_economic_activity_not_stated,15
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,male_economic_activity_not_stated,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,economic activity,female_economic_activity_not_stated,12
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_all_ages,15995
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_00_04_yrs,1141
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_05_09_yrs,1345
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_10_14_yrs,1476
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_15_19_yrs,1554
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_20_24_yrs,1381
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_25_29_yrs,1304
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_30_34_yrs,1016
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_35_39_yrs,901
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_40_44_yrs,939
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_45_49_yrs,804
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_50_54_yrs,878
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_55_59_yrs,784
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_60_64_yrs,789
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_65_69_yrs,597
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_70_74_yrs,480
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_75_79_yrs,335
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_80_84_yrs,163
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_85_89_yrs,83
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_90_94_yrs,18
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,total_95plus_yrs,7
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_all_ages,7853
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_00_04_yrs,589
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_05_09_yrs,678
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_10_14_yrs,738
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_15_19_yrs,810
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_20_24_yrs,650
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_25_29_yrs,649
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_30_34_yrs,512
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_35_39_yrs,436
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_40_44_yrs,427
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_45_49_yrs,395
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,five-year age group,male_50_54_yrs,393
