province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,rdna_affected,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,demographics,NA,total_households,503
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,home_ownership_owned,501
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,home_ownership_rented,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,home_ownership_institutional,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,home_ownership_other,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,foundation_mud,116
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,foundation_mud_bonded_bricks_stone,366
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,foundation_cement_bonded_bricks_stone,13
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,foundation_reinforced_cement_concrete_with_pillars,8
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,foundation_wooden_pillars,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,outer_wall_mud_bonded_bricks_stone,111
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,outer_wall_cement_bonded_bricks_stone,384
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,outer_wall_wood_planks,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,outer_wall_bamboo,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,outer_wall_unbaked_bricks,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,outer_wall_galvanised_sheet,6
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,outer_wall_prefabricated_sheet,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,outer_wall_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,roof_galvanised_sheet,454
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,roof_reinforced_cement_concrete,46
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,roof_thatch_straw,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,roof_tile,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,roof_stone_slate,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,roof_wood_planks,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,roof_mud,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,roof_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,floor_mud,139
