district,adm2_pcode,municipality,adm3_pcode,ward,projection_2026_population_total,flash_appeal_affected,rdna_affected,impacted_buildings,average_household_size,population_pc_urban,improved_drinking_water_hhd,no_toilet_public_toilet_hhd,wealth_quintile_poorest_quintile_hhd,wealth_quintile_poorest_quintile_pc,Protection_individuals_reached,Health & Nutrition_individuals_reached,Shelter_individuals_reached,WASH_individuals_reached,Education_individuals_reached,Food Security_individuals_reached,NA_individuals_reached,Logistics_individuals_reached,ETC_individuals_reached,Early Recovery_individuals_reached
Rasuwa,NP0329,Uttargaya,NP0329403,1,1165,1,1,74,4.112627986348123,0,264,96,207,70.65,55,NA,16,NA,NA,796,NA,NA,NA,NA
Rasuwa,NP0329,Uttargaya,NP0329403,2,1233,1,1,131,4.053968253968254,0,278,4,36,11.43,NA,NA,NA,NA,NA,385,NA,345,NA,NA
Rasuwa,NP0329,Uttargaya,NP0329403,3,1080,1,1,NA,3.760135135135135,0,284,5,15,5.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Uttargaya,NP0329403,4,1986,1,1,45,3.886148007590133,0,505,9,16,3.04,NA,NA,NA,NA,NA,NA,NA,NA,400,NA
Rasuwa,NP0329,Uttargaya,NP0329403,5,2836,1,1,317,3.846763540290621,100,724,3,7,0.92,420,150,417,NA,98,3368,NA,44,NA,400
Rasuwa,NP0329,Gosaikunda,NP0329402,1,822,1,1,117,2.918727915194346,0,137,2,225,79.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Gosaikunda,NP0329402,2,558,1,1,571,3.374233128834356,0,162,2,5,3.07,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Gosaikunda,NP0329402,3,495,1,1,33,3.0059171597633134,0,150,18,29,17.16,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Gosaikunda,NP0329402,5,2518,1,1,322,4.240137221269297,0,537,8,24,4.12,248,NA,NA,NA,NA,546,NA,NA,NA,NA
Rasuwa,NP0329,Gosaikunda,NP0329402,6,3099,0,1,NA,4.126027397260274,0,685,30,65,8.9,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Aamachhodingmo,NP0329401,1,1455,1,1,10,4.794212218649518,0,290,29,63,20.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Aamachhodingmo,NP0329401,2,942,0,1,NA,4.091666666666667,0,238,11,50,20.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Aamachhodingmo,NP0329401,4,1044,0,1,NA,3.6,0,236,8,63,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Aamachhodingmo,NP0329401,5,1704,0,1,47,3.816414686825054,0,321,24,125,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rasuwa,NP0329,Kalika,NP0329404,1,2493,1,1,112,4.200325732899023,0,614,0,210,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuwakot,NP0328,Tarakeshwor,NP0328403,2,2020,1,1,4,3.735144312393888,0,571,5,47,7.98,NA,NA,206,NA,NA,NA,NA,NA,NA,NA
Nuwakot,NP0328,Tarakeshwor,NP0328403,4,2157,1,1,39,3.4741506646971936,0,646,7,83,12.26,46,NA,248,NA,NA,NA,NA,NA,NA,NA
Nuwakot,NP0328,Kispang,NP0328402,5,3095,1,1,696,3.7016393442622952,100,887,13,39,4.26,337,249,NA,393,NA,72,NA,NA,NA,NA
Nuwakot,NP0328,Bidur,NP0328301,1,2951,1,1,502,4.3059701492537314,0,580,30,35,5.22,104,34,1205,349.6,NA,NA,NA,NA,NA,NA
Nuwakot,NP0328,Bidur,NP0328301,2,5303,0,1,9,3.8065934065934064,0,816,17,31,2.27,2670,86,624,NA,490,4765,43,NA,NA,NA
