province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,affected,theme,disaggregation,variable,value
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,population_total,1165
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,population_overall_male,555
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,population_overall_female,610
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_0_4,80
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_0_4,42
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_0_4,38
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_5_9,117
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_5_9,53
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_5_9,64
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_10_14,126
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_10_14,59
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_10_14,67
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_15_19,93
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_15_19,47
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_15_19,46
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_20_24,88
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,male,age_group_20_24,36
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,female,age_group_20_24,52
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,1,affected,population projections 2026,total,age_group_25_29,92
