municipality,ward,no_of_affected_cadastral_parcels,total_ward_area_hectares,total_affected_area_hectares,affected_area_as_percent_of_ward_area,total_affected_cadastral_area_hectares,affected_cadastral_area_as_percent_of_ward_area,cadastral_share_of_affected_area,district,adm2_pcode,adm3_pcode
Aamachhodingmo,1,17,1775.9,41.3,2.32,4,0.0022,0.0958,Rasuwa,NP0329,NP0329401
Aamachhodingmo,2,10,1215,49,4.04,1.2,9e-4,0.0235,Rasuwa,NP0329,NP0329401
Aamachhodingmo,4,NA,1085.1,6.6,0.61,NA,0,0,Rasuwa,NP0329,NP0329401
Aamachhodingmo,5,1,10134.2,17.6,0.17,0.1,0,0.003,Rasuwa,NP0329,NP0329401
Gosaikunda,1,1,6461.4,91.8,1.42,0,0,4e-4,Rasuwa,NP0329,NP0329402
Gosaikunda,2,608,15647.9,1118.5,7.1499999999999995,23.2,0.0015000000000000002,0.0207,Rasuwa,NP0329,NP0329402
Gosaikunda,3,56,5418.5,93.2,1.72,2.1,4e-4,0.023,Rasuwa,NP0329,NP0329402
Gosaikunda,5,403,13093.6,112.5,0.8600000000000001,23.7,0.0018,0.2106,Rasuwa,NP0329,NP0329402
Gosaikunda,6,40,6998.9,78.1,1.12,2.8,4e-4,0.0364,Rasuwa,NP0329,NP0329402
Kalika,1,233,2543.9,83.4,3.2800000000000002,15,0.0059,0.1803,Rasuwa,NP0329,NP0329404
Uttargaya,1,105,7966.3,71.3,0.9,6.4,8e-4,0.0893,Rasuwa,NP0329,NP0329403
Uttargaya,2,312,1503.3,58.3,3.88,13.9,0.0092,0.2378,Rasuwa,NP0329,NP0329403
Uttargaya,4,144,731.7,37.7,5.1499999999999995,12.2,0.0166,0.3226,Rasuwa,NP0329,NP0329403
Uttargaya,5,1337,435.1,66.7,15.34,41.6,0.09570000000000001,0.624,Rasuwa,NP0329,NP0329403
Belkotgadhi,5,63,961.9,42.8,4.45,2.3,0.0024000000000000002,0.0532,Nuwakot,NP0328,NP0328302
Belkotgadhi,7,1119,1151.2,158.3,13.75,40.2,0.0349,0.2539,Nuwakot,NP0328,NP0328302
Belkotgadhi,8,420,1138.4,38.7,3.4,17.4,0.015300000000000001,0.4503,Nuwakot,NP0328,NP0328302
Bidur,1,1015,468.6,50.7,10.82,31.2,0.06649999999999999,0.6144,Nuwakot,NP0328,NP0328301
Bidur,2,33,843.6,0.2,0.03,0.2,3e-4,1,Nuwakot,NP0328,NP0328301
Bidur,3,1542,1255.5,126.6,10.08,68,0.0541,0.5368,Nuwakot,NP0328,NP0328301
Bidur,4,461,191.9,50.5,26.310000000000002,36.2,0.1887,0.7174,Nuwakot,NP0328,NP0328301
Bidur,5,844,744,47.8,6.42,28.2,0.0379,0.5905,Nuwakot,NP0328,NP0328301
Bidur,6,953,598.3,112.6,18.82,98.2,0.1641,0.8721,Nuwakot,NP0328,NP0328301
Bidur,7,791,1346.3,75.7,5.619999999999999,50.7,0.0377,0.6698,Nuwakot,NP0328,NP0328301
Bidur,8,23,790.6,5.7,0.72,3.9,0.0049,0.6823,Nuwakot,NP0328,NP0328301
Bidur,9,563,615.9,83.6,13.57,53.1,0.08629999999999999,0.6356,Nuwakot,NP0328,NP0328301
Bidur,10,1059,1358,96.5,7.109999999999999,61.3,0.0452,0.6355,Nuwakot,NP0328,NP0328301
Bidur,12,343,1483.9,61.2,4.119999999999999,38.6,0.026000000000000002,0.6303,Nuwakot,NP0328,NP0328301
Kispang,5,361,1026.6,54.6,5.319999999999999,26.7,0.026000000000000002,0.4893,Nuwakot,NP0328,NP0328402
Tarakeshwor,2,157,766.8,29.8,3.8899999999999997,7.4,0.0096,0.2464,Nuwakot,NP0328,NP0328403
Tarakeshwor,4,330,1701.2,64.9,3.82,21.2,0.0125,0.3271,Nuwakot,NP0328,NP0328403
